,가게명,메인메뉴,지역(구),구체적 위치,후기,x,y,카테고리1
840,어글리소사이어티 이태원동,"칵테일바, bar",용산구,서울특별시 용산구 이태원동 66-3,"예쁜, 저녁식사, 반려동물동반",126.988241196191,37.5344189780586,음식점
841,코레아노스 키친 녹사평점,"멕시코음식, 타코",용산구,서울특별시 용산구 이태원동 457-3,"이국적/이색적, 점심식사, 저녁식사, 야외테라스, 발렛파킹, 배달",126.989433996552,37.5339803033682,음식점
842,모터시티바이매니멀 이태원,"피자, 디트로이트피자",용산구,서울특별시 용산구 이태원동 56-30,"캐주얼한, 점심식사, 저녁식사, 바테이블, 배달",126.999766924164,37.5357662890777,음식점
843,겟썸커피 한남,"커피, 카페",용산구,서울특별시 용산구 한남동 683-110,"깔끔한, 저녁식사, 테이크아웃, 반려동물동반",126.983945750467,37.5472051020673,카페
844,더로열푸드앤드링크 용산구,"카페, 브런치",용산구,서울특별시 용산구 후암동 406-58,"경관/야경이좋은, 점심식사, 저녁식사, 야외자리",126.970548936853,37.5424036185205,카페
845,진대포 남영역,"곱창, 알곱창",용산구,서울특별시 용산구 청파동3가 84-4,"서민적인, 저녁식사, 개별룸, 칸막이, 주차",126.969419526519,37.5396916823996,음식점
846,열정도고깃집 용산,"고깃집, 목살",용산구,서울시 용산구 원효로1가 44-11,"시끌벅적한, 점심식사, 저녁식사, 셀프바, 칸막이, 반려동물동반",126.991658888173,37.539278454637,음식점
847,사루 이태원,"카페, 커피",용산구,서울특별시 용산구 이태원동 212-21 1층,"예쁜, 반려동물동반",126.975941007041,37.5488660851384,카페
848,오르소에스프레소바 용산구,카페,용산구,서울특별시 용산구 후암동 129,"캐주얼한, 테이크아웃, 바테이블",126.960917846345,37.5420063661202,카페
849,mtl 효창 효창공원,"커피, 카페",용산구,서울특별시 용산구 효창동 5-160,"예쁜, 테이크아웃, 야외테라스, 반려동물동반, 무료주차, 배달",127.001967034629,37.5370215469058,카페
850,원인어밀리언 한남동,"카페, 커피",용산구,서울특별시 용산구 한남동 684-62,"예쁜, 야외테라스, 반려동물동반",127.003023013751,37.5396288391601,카페
851,리틀넥 한남점,"팬케익, 브런치",용산구,서울특별시 용산구 한남동 727-21,"캐주얼한, 점심식사, 저녁식사, 셀프바, 배달",126.970613650752,37.5300306445046,카페
852,YM ESPRESSO ROOM 구파발,"카페, 커피",은평구,서울특별시 은평구 진관동 67 래미안,"조용한, 반려동물동반, 주차",126.918773751224,37.6206024331891,카페
853,탐나도다 연신내,"카페, 커피",은평구,서울특별시 은평구 갈현동 403-3,"예쁜, 점심식사, 야외테라스, 정원, 반려동물동반",126.910021697965,37.5986792548559,카페
854,악어 응암역,"술집, 와인",은평구,서울특별시 은평구 신사동 17-10,"캐주얼한, 저녁식사, 바자리",126.91819237738,37.6172473840869,음식점
855,카페 뤽상부르 연신내,"와플, 카페",은평구,서울특별시 은평구 갈현동 481-13,"예쁜, 반려동물동반, 주차, 배달",126.931411345217,37.6363158180727,카페
856,트라토리아 피우 구파발,"뇨끼, 파스타",은평구,서울특별시 은평구 진관동 88,"깔끔한, 점심식사, 저녁식사, 예약필수, 주차, 배달",126.917918032411,37.633329446124,음식점
857,참나무본가 갈비 은평구,"돼지갈비, 갈비",은평구,서울 은평구 진관동 100-2 지하1층,"쾌적한, 저녁식사, 셀프바, 반려동물동반, 제로페이, 주차",126.920558376744,37.611955603826,음식점
858,카페 달력 은평구,"카페, 디저트",은평구,서울특별시 은평구 대조동 50-2,"예쁜, 저녁식사, 반려동물동반, 주차",126.93221274402,37.6136746621426,카페
859,이룸 커피 프로젝트 불광,"커피, 카페",은평구,서울특별시 은평구 불광동 542-3 2층,"깔끔한, 테이크아웃, 반려동물동반",126.917461739338,37.6141308076689,카페
860,만포면옥 본점,"평양냉면, 어복쟁반",은평구,서울특별시 은평구 갈현동 463-1,"시끌벅적한, 점심식사, 저녁식사, 반려동물동반, 제로페이, 무료주차",126.917241744557,37.6209113083641,음식점
861,라뚜셩트 연신내,"휘낭시에, 디저트카페",은평구,서울특별시 은평구 갈현동 429-34,"지역주민이찾는, 반려동물동반",126.922393200277,37.619556209709,카페
862,떡산 불광동,"떡볶이, 순대",은평구,서울특별시 은평구 불광동 310-192,"서민적인, 점심식사, 저녁식사, 반려동물동반, 제로페이",126.932071985908,37.6070462748462,음식점
863,온도차 불광역,"카페, 밀크티",은평구,서울시 은평구 녹번동 117-64,"캐주얼한, 테이크아웃, 반려동물동반, 주차, 배달",126.930092970198,37.6125549381541,카페
864,공음 불광,"카페, 마들렌",은평구,서울시 은평구 불광동 268-3,"예쁜, 반려동물동반",126.919174411117,37.6025868962058,카페
865,이상향 은평구,"중식, 퓨전중식",은평구,서울특별시 은평구 역촌동 40-8,"캐주얼한, 저녁식사, 반려동물동반, 배달",126.917622277877,37.6206597486496,음식점
