,Unnamed: 0,가게명,메인메뉴,지역(구),구체적 위치,후기,x,y,카테고리1
30,30,바오밥나무커피 가로수길점,"커피, 바오",강남구,서울특별시 강남구 신사동 561-8 2층,"예쁜, 점심식사, 테이크아웃, 반려동물동반",127.024929370262,37.5194075005189,카페
31,31,502커피 로스터스 역삼,"커피, 로스",강남구,서울특별시 강남구 역삼동 736-1 아크플레이스 1층,"캐주얼한, 테이크아웃, 주차",127.034898308484,37.4997200069753,카페
32,32,에이엔아더 강남구청역,"휘낭시에, 카페",강남구,서울특별시 강남구 논현동 116-7,"깔끔한, 테이크아웃, 바자리, 반려동물동반",127.037430259635,37.5162501481341,카페
33,33,문어랑 선릉역,"문어, 뭉티기",강남구,서울특별시 강남구 역삼동 699,"맛있는안주, 저녁식사, 칸막이, 반려동물동반, 주차, 배달",127.042531117617,37.5054440272558,음식점
34,34,PEEK 양재천,"카페, 갤러리카페",강남구,서울특별시 강남구 개포동 1250-3,"숲속, 정원, 바자리",127.046831111801,37.4804749527946,카페
35,35,돈그리아 선릉역,"고깃집, 목살",강남구,서울특별시 강남구 대치동 897-9,"시끌벅적한, 점심식사, 저녁식사, 반려동물동반",127.050621265051,37.5028142264441,음식점
36,36,모터시티바이매니멀 역삼점 역삼,"피자, 피맥",강남구,서울특별시 강남구 역삼동 736-1,"캐주얼한, 점심식사, 저녁식사, 반려동물동반, 무료주차",127.034898308484,37.4997200069753,음식점
37,37,정월 강남역,"카페, 말차",강남구,서울특별시 강남구 역삼동 618-21,"예쁜, 테이크아웃, 야외테라스, 정원",127.02859486655,37.5036713501231,카페
38,38,장생건강원 영동시장,"칵테일, 술집",강남구,서울특별시 강남구 논현동 145-12,"깔끔한, 저녁식사, 바자리, 주차",127.024521009633,37.5093774303501,음식점
39,39,티하우스 청담 청담,"애프터눈티, 티하우스",강남구,서울특별시 강남구 삼성동 57-11,"예쁜, 점심식사, 테이크아웃, 반려동물동반, 주차, 배달",127.054697289004,37.5189456132352,음식점
40,40,몽브루 북한산,"카페, 커피",강북구,서울특별시 강북구 수유동 535-73,"예쁜, 야외테라스, 주차",127.003927564855,37.6437059241185,카페
41,41,티틸 수유,"카페, 디저트",강북구,서울특별시 강북구 수유동 221-21,"깔끔한, 점심식사, 저녁식사, 좌식테이블, 테이크아웃, 반려동물동반",127.022940479685,37.639217667394,카페
42,42,수유리조트 수유역,"크로플, 카페",강북구,서울 강북구 수유동 221-18,"예쁜, 정원, 반려동물동반",127.023345914208,37.6400889302057,카페
43,43,도너리비해피 미아사거리,"도넛, 카페",강북구,서울특별시 강북구 미아동 54-38,"다이어트카페, 반려동물동반, 바테이블, 제로페이, 배달",127.031760561897,37.6139102392397,카페
44,44,개나리산장 북한산,"포차, 백숙",강북구,서울특별시 강북구 우이동 260-10,"가족끼리, 점심식사, 반려동물동반, 반려동물동반, 발렛파킹",126.998060211326,37.6556496774466,음식점
45,45,선운각 우이동,"모나카, 한옥카페",강북구,서울특별시 강북구 우이동 265-16 선운각,"경관/야경이좋은, 발렛, 정원, 좌식, 주차",126.999376716312,37.6550149496779,카페
46,46,신라의닭발 미아사거리,"닭발, 국물닭발",강북구,서울특별시 강북구 미아동 35-20,"서민적인, 저녁식사, 좌식테이블, 무료주차, 배달",127.030435986603,37.6125761338317,음식점
47,47,화수브루어리 서울강북점,"수제맥주, 브루어리",강북구,서울특별시 강북구 수유동 521-55,"깔끔한, 저녁식사, 테이크아웃, 야외테라스, 반려동물동반",127.011993006195,37.6402666828753,음식점
48,48,시골쌈밥 북한산,"쌈밥, 된장",강북구,서울특별시 강북구 우이동 165-5,"서민적인, 아침식사, 점심식사, 저녁식사, 셀프바, 주차",127.011098364264,37.6622807577342,음식점
49,49,도베르 수유역,"카페, 크로플",강북구,서울특별시 강북구 수유동 192-13,"예쁜, 야외테라스, 반려동물동반",127.02461707739,37.6394997882131,카페
50,50,오성리 수유,"카페, 치즈케이크",강북구,서울특별시 강북구 수유동 482-34,"크리스마스, 좌식테이블, 반려동물동반, 배달",127.017480267059,37.6293558741004,카페
51,51,헤미앤바우어419카페 수유,"브런치, 카페",강북구,서울 강북구 수유동 563-94,"분위기좋은, 아침식사, 점심식사, 야외테라스, 셀프바, 반려동물동반",127.006815964524,37.6459064459442,카페
52,52,비미남경 미아역,"카페, 커피",강북구,서울특별시 강북구 미아동 318-6,"인스타감성, 테이크아웃, 반려동물동반",127.02671155217,37.6220838120886,카페
53,53,미아회관 미아사거리,"고깃집, 냉삼",강북구,서울특별시 강북구 미아동 55-20,"국내산, 점심식사, 저녁식사, 좌식, 반려동물동반, 배달",127.031341665145,37.6129713407755,음식점
54,54,경계선 수유,"카페, 와플",강북구,서울특별시 강북구 수유동 516-62,"예쁜, 야외테라스, 정원, 반려동물동반, 무료주차",127.00710612817,37.6385127709285,카페
55,55,카페멘디 수유,"카페, 브런치",강북구,서울특별시 강북구 수유동 582-12,"예쁜, 점심식사, 저녁식사, 야외테라스, 정원, 반려동물동반",127.008760298056,37.6472052657873,카페
56,56,깃든 미아사거리,"해물탕, 해물",강북구,서울특별시 강북구 미아동 54-188,"숨은맛집, 점심식사, 저녁식사, 반려동물동반, 주차, 배달",127.031691416301,37.6132448776634,음식점
57,57,제이제곱 미아사거리,"카페, 파운드케익",강북구,서울특별시 강북구 미아동 54-46,"예쁜, 반려동물동반, 반려동물동반",127.031527546828,37.6138265097759,카페
